symbol,sector,buy_price,current_price,current_value,return_pct,cost_basis_source,current_price_source,price_discrepancy_note,return_pct_is_estimated,sentiment,strength,trend,trend_7d,trend_30d,allocation_status,score,action,confidence,reason,priority_sell,estimated_flow_usd
MSFT,Technology,401.5,424.6,77701.8,5.75,csv,yahoo,CSV current $415.75 vs market ref ~$424.60 (2.1% diff) — using market ref for rebalancing; verify stale export.,False,Neutral,Neutral,Uptrend,Sideways,Uptrend,Underweight,65.1,HOLD,HIGH,"Mixed signals — score=65, sentiment=Neutral, trend=Uptrend, allocation=Underweight, return=+5.8%",False,0.0
NVDA,Technology,133.5,208.26,68517.54,56.0,csv,yahoo,CSV current $199.64 vs market ref ~$208.26 (4.1% diff) — using market ref for rebalancing; verify stale export.,False,Neutral,Strong,Uptrend,Sideways,Uptrend,Underweight,69.5,STRONG SELL,HIGH,Booking maximum profit at +56.0% return — lock in gains before reversal,True,68517.54
JPM,Financial Services,264.3,308.28,85393.56,16.64,csv,yahoo,,False,Positive,Strong,Uptrend,Sideways,Uptrend,Underweight,72.4,STRONG BUY,HIGH,Underweight sector with positive sentiment and confirmed uptrend — add aggressively,False,3415.74
XOM,Energy,109.5,148.91,89494.91,35.99,csv,yahoo,,False,Neutral,Strong,Downtrend,Sideways,Downtrend,Underweight,64.1,PARTIAL SELL,HIGH,Partial profit booking at +36.0% — trim position while keeping upside exposure,True,44747.46
PG,Consumer Defensive,166.2,148.18,69200.06,-10.84,csv,yahoo,,False,Negative,Weak,Sideways,Sideways,Sideways,Underweight,50.8,REDUCE,MEDIUM,Early warning: -10.8% drawdown — reducing position to manage risk,True,17300.01
NKE,Consumer Cyclical,73.5,44.69,21585.27,-39.2,csv,yahoo,,False,Negative,Weak,Downtrend,Sideways,Downtrend,Underweight,34.6,SELL,HIGH,Stop loss triggered at -39.2% — protecting capital from further downside,True,21585.27
CAT,Industrials,370.0,830.79,166158.0,124.54,csv,yahoo,,False,Neutral,Strong,Uptrend,Uptrend,Uptrend,Neutral,70.0,STRONG SELL,HIGH,Booking maximum profit at +124.5% return — lock in gains before reversal,True,166158.0
HON,Industrials,226.5,213.16,93577.24,-5.89,csv,yahoo,,False,Neutral,Neutral,Downtrend,Downtrend,Sideways,Neutral,49.1,HOLD,MEDIUM,"Mixed signals — score=49, sentiment=Neutral, trend=Downtrend, allocation=Neutral, return=-5.9%",False,0.0
SPY,ETF,586.0,713.94,355542.12,21.83,csv,yahoo,,False,Neutral,Strong,Uptrend,Sideways,Uptrend,Overweight,51.7,PARTIAL SELL,MEDIUM,Partial profit booking at +21.8% — trim position while keeping upside exposure,True,177771.06
QQQ,ETF,494.0,664.02,341306.28,34.42,csv,yahoo,,False,Neutral,Strong,Uptrend,Sideways,Uptrend,Overweight,52.9,PARTIAL SELL,MEDIUM,Partial profit booking at +34.4% — trim position while keeping upside exposure,True,170653.14
VT,ETF,120.5,150.34,82386.32,24.76,csv,yahoo,,False,Neutral,Strong,Uptrend,Sideways,Uptrend,Overweight,52.0,PARTIAL SELL,MEDIUM,Partial profit booking at +24.8% — trim position while keeping upside exposure,True,41193.16
ARKK,ETF,54.0,76.5,35190.0,41.67,csv,yahoo,CSV current $78.03 vs market ref ~$76.50 (2.0% diff) — using market ref for rebalancing; verify stale export.,False,Neutral,Strong,Uptrend,Sideways,Uptrend,Overweight,53.7,STRONG SELL,MEDIUM,Booking maximum profit at +41.7% return — lock in gains before reversal,True,35190.0
GLD,ETF,290.0,433.25,59788.5,49.4,csv,yahoo,,False,Neutral,Strong,Downtrend,Downtrend,Uptrend,Overweight,52.4,STRONG SELL,MEDIUM,Booking maximum profit at +49.4% return — lock in gains before reversal,True,59788.5
